Configuration Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,ref_var_name,ref_type,ref_category,config_category,name: en,name: fr_CA,description: en,description: fr_CA,variable_name,menu_type,data_type,display_type,set_type,required,hidden,default_value,validation_type,item_level_process,auto_lock,cons_values_display,status,hide_in_trans,additional,start_date,end_date,order_number,is_array_attr,is_array_control_attr,pricing_type,pricing_display_type,is_display_pricing_at_bottom,include_in_total_price,guid,set_variable_name,menu_display_text: en,menu_display_text: fr_CA,menu_item_price: USD,menu_item_price: EUR,menu_item_price: CAD,menu_item_price: GBP,menu_item_price: AUD,menu_item_price: CNY,menu_item_price: DKK,menu_item_price: HKD,menu_item_price: INR,menu_item_price: JPY,menu_item_price: KRW,menu_item_price: PHP,menu_item_price: SGD,menu_item_price: SEK,menu_item_price: TWD,menu_item_price: BRL,menu_variable_name,menu_item_images
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Available Bundles,,,,ctlSupsavailableBundles,TRUE,Text,Multi Select Menu,None,FALSE,FALSE,None Selected,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,11,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076972,,Bundle 1~Bundle 2~Bundle 3~Bundle 4~None Selected,,,,,,,,,,,,,,,,,,Bundle 1~Bundle 2~Bundle 3~Bundle 4~None Selected,Toolbox3Icon.jpg~PlannerDailyIcon.jpg~homepage8.png~icon16.png~
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,ctlToBeDeleted,,,,ctlToBeDeleted,TRUE,Text,Checkbox Horizontal,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:true~image_menu_value:Below Image~image_menu_cols:4~image_menu_rows:3~image_menu_size_type:Height~image_menu_size:75,,,12,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076982,,one~three~two,,,,,,,,,,,,,,,,,,one~three~two,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,ctlCurrencyInit,,,,ctlCurrencyInit,FALSE,Float,Text,None,FALSE,TRUE,,None,FALSE,FALSE,Marked,Active,FALSE,,,,13,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076986,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,ctlCurrencyInitCurr,,,,ctlCurrencyInitCurr,FALSE,Currency,Text,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,precision_USD:2~precision_EUR:~precision_CAD:~precision_GBP:~precision_AUD:~precision_CNY:~precision_DKK:~precision_HKD:~precision_INR:~precision_JPY:~precision_KRW:~precision_PHP:~precision_SGD:~precision_SEK:~precision_TWD:~precision_BRL:,,,14,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076987,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Contract Commit ($),,,,ctlContractCommitText,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,15,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076988,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,What are the most important Purchase Criteria,,,,whatAreTheMostImportantPurchaseCriteria,TRUE,Text,Multi Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,16,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076989,,Affordability~Performance~System Scalability,,,,,,,,,,,,,,,,,,Affordability~Performance~System Scalability,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,What types of Business Infrastructure do you Support,,,,whatTypesOfBusinessInfrastructureDoYouSupport,TRUE,Text,Multi Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,17,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076993,,Small Business~Small Medium Business~Enterprise Business,,,,,,,,,,,,,,,,,,Small Business~Small Medium Business~Enterprise Business,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Market Segment,,,,srchFlowMktSegment,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,18,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076997,,Residential~Small Medium Business~Mid-Market Business~Enterprise Business,,,,,,,,,,,,,,,,,,Residential~Small Medium Business~Mid-Market Business~Enterprise Business,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Data Bundle Product,,,,ctlDataBundleProduct,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,19,FALSE,FALSE,Static Pricing,Show Prices Next to Attribute Values,TRUE,TRUE,sbcenturylink_721077002,,Core Connect Enterprise~Fiber MTU Bundle~Data Bundle,,400~500~425,,,,,,,,,,,,,,,,Core Connect Enterprise~Fiber MTU Bundle~Data Bundle,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Location Array Control Attribute,,,,ctlLocationArrayControlAttribute,FALSE,Integer,Text,None,FALSE,FALSE,,Range Check,FALSE,FALSE,Marked,Active,FALSE,maximum:200~minimum:1,,,20,FALSE,TRUE,None,None,FALSE,FALSE,sbcenturylink_721077012,,,,,,,,,,,,,,,,,,,,,
